Protein,CRC01-N,CRC01-T,CRC02-N_fixed
NRBF2,41.0,35.0,51.0
NRBP1,18.0,21.0,35.0
NRBP2,62.0,64.0,86.0
NRCAM,102.0,110.0,152.0
NRDC,103.0,113.0,163.0
NRDE2,116.0,122.0,165.0
NREP,3.0,1.0,3.0
NRF1,12.0,12.0,15.0
NRG1,48.0,46.0,64.0
NRG2,82.0,87.0,119.0
NRG3,42.0,43.0,71.0
NRG4,6.0,6.0,10.0
NRGN,6.0,5.0,12.0
NRIP1,154.0,164.0,258.0
NRIP2,17.0,16.0,23.0
NRIP3,31.0,34.0,36.0
NRK,129.0,128.0,181.0
NRL,7.0,8.0,13.0
NRM,15.0,16.0,25.0
NRN1,5.0,3.0,10.0
NRN1L,9.0,12.0,21.0
NRP1,81.0,92.0,123.0
NRP2,103.0,112.0,142.0
NRROS,66.0,60.0,80.0
NRSN1,14.0,12.0,19.0
NRSN2,7.0,7.0,12.0
NRTN,10.0,7.0,11.0
NRXN1,156.0,150.0,229.0
NRXN2,143.0,155.0,208.0
NRXN3,146.0,162.0,199.0
NSA2,27.0,29.0,33.0
NSD1,302.0,331.0,427.0
NSD2,152.0,168.0,234.0
NSD3,167.0,169.0,227.0
NSDHL,57.0,56.0,80.0
NSF,102.0,109.0,145.0
NSFL1C,42.0,49.0,57.0
NSG1,16.0,15.0,21.0
NSG2,15.0,19.0,34.0
NSL1,23.0,22.0,37.0
NSMAF,67.0,67.0,113.0
NSMCE1,38.0,37.0,46.0
NSMCE2,22.0,23.0,34.0
NSMCE3,46.0,49.0,52.0
NSMCE4A,42.0,57.0,57.0
NSMF,66.0,65.0,81.0
NSRP1,56.0,64.0,81.0
NSUN2,105.0,97.0,119.0
NSUN3,46.0,51.0,71.0
NSUN4,22.0,25.0,29.0
NSUN5,46.0,47.0,66.0
NSUN5P1,6.0,5.0,6.0
NSUN5P2,44.0,53.0,63.0
NSUN6,60.0,66.0,75.0
NSUN7,94.0,94.0,113.0
NT5C,25.0,16.0,29.0
NT5C1A,42.0,44.0,57.0
NT5C1B,58.0,59.0,96.0
NT5C2,63.0,59.0,93.0
NT5C3A,41.0,44.0,47.0
NT5C3B,30.0,33.0,46.0
NT5DC1,47.0,51.0,72.0
NT5DC2,68.0,60.0,88.0
NT5DC3,58.0,65.0,91.0
NT5DC4,39.0,32.0,49.0
NT5E,49.0,43.0,74.0
NT5M,29.0,27.0,34.0
NTAN1,25.0,34.0,51.0
NTAQ1,9.0,10.0,13.0
NTF3,38.0,50.0,62.0
NTF4,22.0,22.0,24.0
NTHL1,26.0,30.0,29.0
NTM,18.0,16.0,23.0
NTM-AS1,14.0,16.0,16.0
NTMT1,22.0,20.0,29.0
NTMT2,19.0,18.0,25.0
NTN1,54.0,55.0,93.0
NTN3,62.0,76.0,87.0
NTN4,46.0,48.0,73.0
NTN5,41.0,39.0,50.0
NTNG1,36.0,37.0,54.0
NTNG2,64.0,62.0,78.0
NTPCR,23.0,28.0,36.0
NTRK1,62.0,60.0,64.0
NTRK2,53.0,55.0,84.0
NTRK3,61.0,73.0,91.0
NTS,5.0,10.0,11.0
NTSR1,17.0,16.0,31.0
NTSR2,23.0,21.0,28.0
NUAK1,74.0,75.0,113.0
NUAK2,69.0,69.0,73.0
NUB1,76.0,78.0,93.0
NUBP1,18.0,17.0,28.0
NUBP2,19.0,25.0,35.0
NUBPL,24.0,24.0,35.0
NUCB1,78.0,89.0,91.0
NUCB2,38.0,41.0,63.0
NUCKS1,15.0,18.0,20.0
NUDC,53.0,56.0,69.0
NUDCD1,65.0,69.0,94.0
NUDCD2,12.0,9.0,18.0
NUDCD3,35.0,41.0,41.0
NUDT1,10.0,13.0,13.0
NUDT10,16.0,11.0,26.0
NUDT11,3.0,4.0,6.0
NUDT12,76.0,70.0,101.0
NUDT13,31.0,36.0,55.0
NUDT14,27.0,33.0,36.0
NUDT15,19.0,26.0,27.0
NUDT16,26.0,26.0,36.0
NUDT16L1,30.0,32.0,45.0
NUDT17,23.0,34.0,49.0
NUDT18,37.0,37.0,46.0
NUDT19,30.0,36.0,47.0
NUDT2,18.0,24.0,24.0
NUDT21,18.0,25.0,26.0
NUDT22,21.0,15.0,24.0
NUDT3,27.0,30.0,39.0
NUDT4,11.0,8.0,13.0
NUDT4B,,,5.0
NUDT5,34.0,34.0,42.0
NUDT6,26.0,27.0,46.0
NUDT7,26.0,29.0,32.0
NUDT8,20.0,23.0,39.0
NUDT9,39.0,40.0,49.0
NUF2,72.0,68.0,107.0
NUFIP1,37.0,52.0,63.0
NUFIP2,67.0,75.0,89.0
NUGGC,84.0,89.0,125.0
NUMA1,292.0,323.0,387.0
NUMB,57.0,60.0,88.0
NUMBL,66.0,71.0,75.0
NUP107,87.0,106.0,148.0
NUP133,98.0,104.0,124.0
NUP153,102.0,111.0,172.0
NUP155,92.0,105.0,118.0
NUP160,107.0,108.0,157.0
NUP188,162.0,174.0,216.0
NUP205,155.0,157.0,243.0
NUP210,92.0,107.0,154.0
NUP210L,177.0,187.0,228.0
NUP214,106.0,95.0,145.0
NUP35,24.0,31.0,38.0
NUP37,27.0,30.0,37.0
NUP42,37.0,37.0,63.0
NUP43,9.0,13.0,9.0
NUP50,63.0,67.0,105.0
NUP54,65.0,63.0,89.0
NUP58,29.0,30.0,41.0
NUP62,23.0,29.0,36.0
NUP62CL,5.0,4.0,6.0
NUP85,48.0,56.0,91.0
NUP88,72.0,75.0,102.0
NUP93,102.0,103.0,129.0
NUP98,162.0,161.0,227.0
NUPR1,5.0,5.0,7.0
NUPR2,,1.0,1.0
NUS1,27.0,22.0,45.0
NUSAP1,75.0,65.0,84.0
NUTF2,2.0,1.0,3.0
NUTM1,51.0,48.0,79.0
NUTM2A,11.0,19.0,15.0
NUTM2B,46.0,43.0,70.0
NUTM2D,6.0,8.0,9.0
