Protein,CRC01-N,CRC01-T
ALOXE3,51.0,53.0
ALPG,20.0,19.0
ALPI,26.0,33.0
ALPK1,147.0,156.0
ALPK2,185.0,184.0
ALPK3,125.0,133.0
ALPL,39.0,44.0
ALPP,42.0,50.0
ALS2,124.0,126.0
ALS2CL,105.0,114.0
ALX1,35.0,36.0
ALX3,16.0,18.0
ALX4,25.0,15.0
ALYREF,15.0,17.0
AMACR,28.0,26.0
AMBN,14.0,14.0
AMBP,26.0,29.0
AMBRA1,109.0,115.0
AMD1,41.0,50.0
AMDHD1,66.0,63.0
AMDHD2,33.0,34.0
AMELY,2.0,2.0
AMER1,53.0,57.0
AMER2,59.0,68.0
AMER3,71.0,73.0
AMFR,41.0,44.0
AMH,50.0,54.0
AMHR2,71.0,74.0
AMIGO1,54.0,57.0
AMIGO2,38.0,41.0
AMIGO3,45.0,45.0
AMMECR1,24.0,21.0
AMMECR1L,13.0,19.0
AMN,35.0,31.0
AMN1,15.0,18.0
AMOT,121.0,117.0
AMOTL1,99.0,108.0
AMOTL2,82.0,91.0
AMPD1,93.0,103.0
AMPD2,89.0,92.0
AMPD3,87.0,95.0
AMPH,51.0,46.0
AMT,49.0,49.0
AMTN,9.0,8.0
AMY1B,17.0,21.0
AMY2A,63.0,67.0
AMY2B,6.0,5.0
AMZ1,45.0,42.0
AMZ2,44.0,45.0
ANAPC1,172.0,167.0
ANAPC10,35.0,38.0
ANAPC11,1.0,1.0
ANAPC13,5.0,6.0
ANAPC15,3.0,6.0
ANAPC16,6.0,10.0
ANAPC2,85.0,95.0
ANAPC4,99.0,109.0
ANAPC5,87.0,86.0
ANAPC7,75.0,78.0
ANG,23.0,15.0
ANGEL1,39.0,46.0
ANGEL2,78.0,74.0
ANGPT1,70.0,61.0
ANGPT2,50.0,51.0
ANGPT4,59.0,52.0
ANGPTL1,50.0,63.0
ANGPTL2,67.0,76.0
ANGPTL3,55.0,55.0
ANGPTL4,30.0,25.0
ANGPTL5,58.0,59.0
ANGPTL6,45.0,51.0
ANGPTL7,23.0,25.0
ANGPTL8,13.0,17.0
ANHX,41.0,43.0
ANK1,147.0,161.0
ANK2,378.0,380.0
ANK3,526.0,510.0
ANKAR,129.0,147.0
ANKDD1A,51.0,53.0
ANKDD1B,92.0,76.0
ANKEF1,110.0,111.0
ANKFN1,91.0,105.0
ANKFY1,87.0,89.0
ANKH,34.0,28.0
ANKHD1,100.0,108.0
ANKIB1,85.0,89.0
ANKK1,71.0,83.0
ANKLE1,49.0,52.0
ANKLE2,95.0,94.0
ANKMY1,114.0,111.0
ANKMY2,42.0,45.0
ANKRA2,25.0,24.0
ANKRD1,41.0,50.0
ANKRD10,23.0,30.0
ANKRD11,179.0,188.0
ANKRD12,204.0,196.0
ANKRD13A,49.0,52.0
ANKRD13B,63.0,56.0
ANKRD13C,31.0,27.0
ANKRD13C-DT,14.0,18.0
ANKRD13D,64.0,66.0
ANKRD16,41.0,39.0
ANKRD17,222.0,203.0
ANKRD18A,141.0,138.0
ANKRD18B,85.0,93.0
ANKRD19P,35.0,35.0
ANKRD2,39.0,41.0
ANKRD20A1,4.0,3.0
ANKRD20A12P,58.0,66.0
ANKRD20A2P,7.0,7.0
ANKRD20A3P,5.0,6.0
ANKRD20A4P,112.0,119.0
ANKRD20A5P,17.0,17.0
ANKRD20A8P,49.0,53.0
ANKRD22,14.0,12.0
ANKRD23,33.0,39.0
ANKRD24,120.0,127.0
ANKRD26,239.0,272.0
ANKRD26P1,37.0,34.0
ANKRD27,126.0,119.0
ANKRD28,55.0,63.0
ANKRD29,21.0,23.0
ANKRD30A,152.0,146.0
ANKRD30B,183.0,197.0
ANKRD30BL,23.0,17.0
ANKRD31,175.0,185.0
ANKRD33,36.0,33.0
ANKRD33B,50.0,50.0
ANKRD34A,65.0,67.0
ANKRD34B,65.0,60.0
ANKRD34C,87.0,102.0
ANKRD35,134.0,144.0
ANKRD36,123.0,118.0
ANKRD36B,184.0,192.0
ANKRD36BP1,11.0,14.0
ANKRD36C,79.0,87.0
ANKRD37,11.0,11.0
ANKRD39,16.0,20.0
ANKRD40,17.0,26.0
ANKRD40CL,36.0,29.0
ANKRD42,54.0,61.0
ANKRD44,96.0,100.0
ANKRD45,20.0,21.0
ANKRD46,13.0,19.0
ANKRD49,29.0,33.0
ANKRD50,150.0,155.0
ANKRD52,98.0,92.0
ANKRD53,80.0,76.0
ANKRD54,39.0,38.0
ANKRD55,55.0,46.0
ANKRD6,101.0,98.0
ANKRD60,36.0,43.0
ANKRD61,50.0,55.0
ANKRD62,113.0,117.0
ANKRD63,33.0,30.0
ANKRD65,46.0,57.0
ANKRD66,30.0,29.0
ANKRD7,20.0,18.0
