Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
ABLIM1,22.10278526548984,21.248119717557927,22.341228156388688,22.70757962964064,22.24086740601048,22.43400063262839,21.59529372600833,21.759576763072975,22.031485223279304,22.723754602662545,22.0484941168356,22.748300196807623,22.691396850079823,21.955000856448777,22.007411547840814,21.770775815258826,21.860964701699988,21.367348557203393,21.168718772225688,22.183972482002936,21.643688540744275,21.675748907204156,21.003695870090038,23.385463229465895,20.756833664305013,21.830649190014118,21.654131668648006,21.829938614576847,22.215347440674908,23.735790106641275,21.351979740506913,22.84403233953836
ACAA1,24.308637481160567,21.751925129330036,24.89781662921839,24.920127149562475,22.956312744010077,26.076181700952954,26.146875610513952,25.325276231350717,24.549637261347304,26.437764151921158,25.752081721112006,25.0188059205485,25.083847838888065,23.90572438549979,20.686652475437,24.28477337574769,23.978134859444804,24.60136132254055,19.4201994972263,25.300914971299463,21.050148200281562,24.323550060006156,24.817414859141007,26.402229730844436,18.356843871698423,24.60295402135969,22.740715078534052,25.430994679425343,19.782011813758746,26.938226290584115,23.08568190176537,25.705169316637487
ACAA2,27.16374902031166,26.323993897698497,26.974883935909787,28.291314820827214,28.000380392982777,28.466640038719685,28.704206405879376,27.843927273961242,28.199021407344265,28.273582883092423,28.447952217462028,29.631760059464103,28.346945535217632,28.591579031715696,26.449434904523397,26.556790953867967,26.407955559646688,28.251947455716742,26.746826792189996,27.875515197072893,27.236731909171972,27.981249180612572,27.996581701814275,28.863628281910476,26.381072596365033,27.57596532542767,27.73695559563406,29.110065078736017,29.173985149307455,28.148407282111553,27.06903981454992,29.299076032371048
ACAD10,23.79466286242655,23.420760826617613,24.34159563940869,23.15856958979728,24.915070866359073,23.589980098992772,24.39875571336272,22.7245014911776,27.405149640008407,24.811312134938316,27.74685040494756,26.451369122995988,24.807711660497144,23.482663346890412,25.70125068576766,22.82670087253006,23.178693834764754,24.884501408593692,25.019760494555207,24.003316067652484,25.586056739205635,21.242871278237462,27.405367854233962,25.381321576826327,23.578022982945722,23.744787200571178,27.41990134519194,26.351160614115983,27.11808758722702,22.96600158410225,22.946473286173028,23.58115439087249
ACAD9,23.45420969079531,23.379756609026618,23.88087140955448,24.395899196749887,22.230481988556058,25.079239222832804,23.827774065071196,23.98039797673665,29.975398229804163,27.929602870802466,23.54324092722934,24.903564067772383,24.461370475834563,24.36269079190596,21.98981686089042,22.83678238595708,21.799723836692998,22.20110375749967,21.988630838054338,24.16157614516895,22.002306229659347,23.338875431494365,22.19606815266182,24.286829255050016,20.402316397592994,23.93990792726555,28.956825416998413,28.430275818889516,24.514206573189817,24.655977299330495,21.527289589276947,24.49792854082142
ACADS,25.22531280244202,23.570569783186393,25.080879305899504,26.64535125460183,26.6154747279102,25.74542966444652,26.99415509016233,23.634501190860906,27.13514350625586,26.165135113397056,26.94615845035654,26.759589246840388,26.19970764552324,26.684983477522554,25.4795149397716,23.63453734439106,25.781953735521505,24.235690561572213,25.950327510171373,26.603824627831763,25.74293116181668,24.71250757430024,26.302299180927044,27.36038598882866,24.25393231937526,24.14476789152291,26.476736804224217,26.735803360205214,27.897056652047482,27.261002605157998,25.061009240447962,24.259651016095376
ACADSB,21.0501822137904,21.36771390880973,23.492295821736782,23.447189139783173,23.011971849403192,23.975856681303704,21.93921274995083,21.537701724422277,22.945489064626106,25.0019070621593,24.24476745537008,25.3426621108966,23.763210858327515,23.25842886359713,19.082399356909267,20.400690737108764,22.295536807403806,18.594208205168435,21.275796456902853,22.58021246201062,19.058609511679236,22.102545940255208,23.008593871957228,26.495530405285393,16.95959810186388,21.30626333495336,21.703651941305914,23.02035046042227,25.11846365301751,24.913706627969297,20.48785749535497,24.006059940469104
ACADVL,28.638454264724444,27.67479707140824,28.556587481596164,28.469261837040523,28.043704492123112,28.23682823338297,28.693708775690492,27.740144955044748,28.45721983781696,28.949512536250793,28.767578644323812,28.927186708130474,29.003925855370596,28.2798740011833,27.190559970832368,27.25130203171599,27.125846830611422,28.19282699554767,27.627213967206163,28.96920138305054,27.062140959168943,27.95104338080366,27.891257196560165,28.417464343116087,26.920125480635768,28.002605002234045,28.26672753525828,28.57868409996522,29.041361515183635,28.6282924087938,27.685111759790274,28.35898119873986
ACAT1,27.95758255492782,26.880591716981403,28.011909852865884,27.534891539850392,27.62361926213507,27.34724968619099,28.282687045948805,26.582393157455936,27.610526038157502,27.362572200974952,27.76888230142971,27.07912894639461,26.948880597984658,27.547471550371572,27.537864505159032,25.953440093443,27.301695893631237,25.89640028454923,26.835478535766207,28.324348983782816,27.41538184527588,26.064992343111637,26.529056288266617,28.698357939739786,26.83683328528818,27.844681686429173,27.61114297706551,28.09523643590235,28.267513216767323,28.371219604320476,27.28186501015291,28.91220532131382
ACLY,25.462110247908974,25.75159639918238,25.798715915220747,26.385745150812358,25.271183570747944,27.114855592931622,25.167470797076543,26.758608910698502,24.64741907929891,26.54636885836366,24.594203828371818,25.69387708163122,26.137195974070448,25.995058155283186,23.72455168152362,25.29324792864502,24.702988856879735,25.809228529927154,24.019371860266602,26.687352040051838,24.869868867072146,26.295119888706925,24.81111027206685,26.94546961628548,22.637002410652254,26.826624713292727,23.520595402174695,27.64108428781966,25.261401446277837,27.505444672856484,25.00327849434638,26.501501227477807
ACO1,26.45684344134574,26.27412754514045,26.46505323126655,25.91187896384747,26.3294742633443,26.11934862766472,26.19199695185673,25.766820148534475,26.61958853570593,28.085249756120742,26.908189408163423,27.198061422817325,26.369068771107223,26.610524455435687,25.736395859064448,24.649809089829038,26.22416826735542,26.410846802410333,26.202848186486346,27.336208113616,26.062353295936266,25.064134555531936,26.051836953219706,27.103387254114242,25.355041576472637,25.984366478346427,26.96561537835921,27.35635711811694,26.80444843849738,27.652627715993123,26.85168523460345,27.669502439244933
