Protein,Mean_Normal,Mean_Tumor,Log2FC,T_statistic,P_value,Neg_log10_P,Significant
SNRPB2,22.599822078104808,24.70020031234744,2.1003782342426334,6.928114209750054,3.4215473278631587e-07,6.465777448335315,Up
SNRPC,22.73618047323,24.853755470982662,2.117574997752662,3.730488906890547,0.0015650981199589458,2.8054584302447214,Up
SNRPD1,25.34950381988123,27.04708455239716,1.6975807325159273,7.456877922800769,2.65052996898835e-08,7.576667280932862,Up
SNRPD2,25.563800304304614,27.213231786465876,1.649431482161262,5.457377151260328,3.2734381918831645e-05,4.484995854887852,Up
SNRPD3,24.4387622391667,26.980472778580378,2.5417105394136783,6.315047968831174,1.5010196474834726e-06,5.823613623054658,Up
SNRPE,24.37715005276138,25.635889387651286,1.2587393348899063,5.42126063442582,1.9220942573311214e-05,4.716225318834459,Up
SNRPF,24.6788702247908,25.95921728671556,1.2803470619247612,3.5600691256634236,0.0016037432495365693,2.794865158642074,Up
SNRPGP15,22.851206463260034,23.98526432417338,1.1340578609133445,5.55211525347038,4.9560951358995605e-06,5.304860365613235,Up
SNU13,23.160103717315877,25.97170559540475,2.8116018780888723,5.188990076294289,3.4894809809046076e-05,4.457239164413778,Up
SNX2,24.03650253726522,24.555710218785958,0.5192076815207365,1.7165821976024653,0.09686942032558735,1.013813299108556,NS
SNX3,24.799021098030657,25.33011784304914,0.531096745018484,2.135329739172617,0.04115583897241384,1.3855685406800105,NS
SNX5,25.067438507608788,23.84970222253048,-1.2177362850783098,-3.2963319693747355,0.003206955010267172,2.4939071326595736,Down
SOD1,27.846834498684423,28.276201873525018,0.42936737484059506,1.5979763418744815,0.1216662770668101,0.9148297809591228,NS
SOD2,25.063083495787282,26.06258325097884,0.9994997551915574,1.26443309721712,0.21585280157141518,0.6658423102270309,NS
SOD3,25.553338887243683,24.502295657159017,-1.051043230084666,-4.51119320072109,0.00012581893359475105,3.900254000091068,Down
SON,23.05193728612167,24.449002065877252,1.3970647797555813,1.6630239374197677,0.10672432947635102,0.971736565084667,NS
SORBS1,28.359852661985606,25.686878128440743,-2.6729745335448634,-6.438176894713743,9.049402391663351e-07,6.043380099974078,Down
SORBS2,25.708448937326203,23.596123105000814,-2.1123258323253893,-6.078965961110441,1.6079906452695356e-06,5.793716482154506,Down
SORD,24.726672322726866,26.036421742713333,1.309749419986467,7.5272827279913415,3.5162319162796913e-08,7.453922488365353,Up
SPATS2L,22.088632116525172,22.56364570258222,0.4750135860570488,1.4756461348395755,0.15082426317334396,0.8215287876792688,NS
SPCS1,24.248861163650865,24.763558435761354,0.5146972721104888,1.7247284150461402,0.09487356935643587,1.0228547599796258,NS
SPCS3,23.857953989325516,25.178850998995905,1.3208970096703894,3.561004104155284,0.0017297052303349297,2.7620279013489037,Up
SPRYD4,21.78701447212466,23.094432789273647,1.3074183171489864,2.8578014762775537,0.009353337815993845,2.0290333798882347,Up
SPTAN1,30.266522586262777,30.697481294472524,0.43095870820974724,2.1401311450037386,0.040605444543168515,1.3914157305478245,NS
SPTBN1,29.428810769985553,29.992470263670917,0.563659493685364,2.4745895852881548,0.019550010322448762,1.7088530089596052,NS
SPTBN2,25.896881050580365,26.412212738168993,0.5153316875886276,3.0603705480315218,0.0046514298395005016,2.332413525399797,NS
