Protein,F_statistic,P_value,FDR,Significant
LIN7A,2.0131281920688395,0.16808708968775282,0.26556333688998573,False
LIPA,0.32508662405155975,0.7274293522817817,0.7931074538787215,False
LLGL2,1.0092099108503678,0.3879628991377931,0.4984283267004893,False
LMAN1,3.0425244597391226,0.07778123700288879,0.15070536293534567,False
LMAN2,4.717175787152858,0.02574413502538015,0.06829594313323822,False
LMNA,1.8467205940155529,0.19187351123550472,0.29319112455548396,False
LMNB1,5.17099908788406,0.019582946075789063,0.05726217478182299,False
LMNB2,0.31373122725646363,0.7353954891990921,0.7991335134754914,False
LMO7,7.639675196398618,0.005153298395299174,0.025136394356109943,False
LMOD1,16.20784995554933,0.00017834798239730823,0.005312391902341154,True
LONP1,7.414861609731311,0.005765211777563403,0.02664839500862104,False
LPP,7.487671441177357,0.005558444143547527,0.02608731978295205,False
LPXN,2.563233608683966,0.11026249522881214,0.19519454935544073,False
LRP1,1.6200182085598247,0.23067030230718377,0.3365888016683531,False
LRPPRC,2.7850831209224265,0.0936269619281783,0.17357894850419114,False
LRRC47,3.851923072605333,0.04466205271012155,0.10129444239026553,False
LRRC59,6.612817958445392,0.008726828242747668,0.03438401110105519,False
LRRFIP1,3.185763257529785,0.07029393639044992,0.1408400483374575,False
LSM2,4.44705982483926,0.03044399817568073,0.07667631558564911,False
LSM4,3.3465994208674887,0.06284308042576757,0.12975179452048496,False
LSP1,6.097244545429111,0.011536595423524991,0.040699336043730217,False
LTA4H,3.2852221484506545,0.06557544760072909,0.13390818093238463,False
LTF,2.8644794267318887,0.08837985238247989,0.1660560052333558,False
LUC7L3,4.72302694164664,0.02565185094936395,0.0681405886098443,False
LUM,42.071485047734974,7.058623272946219e-07,0.00039422410979404634,True
LXN,1.5542651090110564,0.2435344624614986,0.3511094756683813,False
LYN,1.5704879984342466,0.24028661407425242,0.34857162067654535,False
LYPLA1,5.204378395227632,0.019200335660545746,0.05664871360359416,False
LYZ,5.057712581865708,0.02094741488467701,0.05976567669523428,False
LZIC,0.06545848509137657,0.9369039760881773,0.951477359439626,False
MACF1,4.5413483866420865,0.028700936104892997,0.07369872558428846,False
MACROD1,5.5194935007037635,0.015977315342648322,0.050131070892522965,False
MACROH2A1,2.737945121814019,0.09690886247523235,0.17745442522104024,False
MAGEB2,1.6278515246329825,0.22918976632078147,0.3353136096737522,False
MAGOH,11.370032543293773,0.0009877899581216527,0.011960860167519604,False
MAIP1,5.202555999464567,0.019221004884299182,0.05664871360359416,False
MAL2,1.8481923611395228,0.1916470647770211,0.29304554600401445,False
MAN2A1,7.513451853344042,0.005487257094494141,0.02586188259303779,False
MANBA,2.587438521806269,0.10829358188871512,0.19277120473258133,False
MANF,7.8681478397859985,0.004605724989400521,0.02341474260055262,False
MAOA,0.9547811966506129,0.4070911667313575,0.5175443635383061,False
MAOB,6.945172512102334,0.007328903097388136,0.03071814168773939,False
MAP1B,3.3002248396082474,0.06489533816493095,0.13276207459748696,False
MAP4,9.713076676699684,0.0019679800897798587,0.015643950706729744,False
MAP7,1.4917173729968751,0.2565308602299172,0.3657242768051277,False
MAPK14,1.842483028454147,0.19252719947074068,0.2937880899027559,False
MAPK3,5.320121585795173,0.017937767685771894,0.054268812761158663,False
MAPRE1,0.7696779277627144,0.48061243930295344,0.5882465085146427,False
MAPRE2,8.844327390425462,0.0029020612749282517,0.018251764900629776,False
MARCKS,0.1941539728153422,0.8255681463846812,0.8724310496799328,False
MARCKSL1,12.694986931625355,0.00059378968899507,0.00940798698734033,True
MARS1,11.063434053103318,0.0011169200290604908,0.012112618179228818,False
MAT2A,6.615410825042254,0.008714812653301637,0.03438401110105519,False
MAT2B,5.958453464958718,0.01245936177791109,0.04262513661845846,False
MATN2,17.929837296407392,0.00010541019436418133,0.004443139136029832,True
MATR3,8.375026979993377,0.0036107792246859688,0.020653698582315146,False
MAVS,0.16852890389468902,0.8464845467966067,0.8873986285986012,False
MBOAT7,1.7921504187785657,0.20048770282365744,0.3032427407637446,False
MCAM,17.6960938826038,0.00011296927489985343,0.004655011047022687,True
MCCC2,1.8989642176551502,0.18401765996940983,0.283709766992175,False
MCM2,5.6235501332966695,0.015051315717887807,0.04845048892472819,False
MCM5,14.058723411886218,0.00036373632090135754,0.007320603071113809,True
MCM6,0.007761144967793588,0.9922728768597263,0.9936071747667542,False
MCM7,6.996925457673618,0.007134937644356053,0.0301294670905217,False
MCTS1,3.693871091252481,0.04961433971570017,0.11006795921040137,False
MDH1,1.3063904542257179,0.29989895122553517,0.40752692033932214,False
MDH2,3.54292407126536,0.05493243240326237,0.11811266023954585,False
ME2,3.2294786824084376,0.06817416324077291,0.13807894893915384,False
MECP2,3.0570581714983316,0.0769817209860833,0.14967551321402098,False
MED24,0.45103185348712505,0.6453321106638255,0.7303302610045522,False
MESD,2.724964523728742,0.0978353721760613,0.1785903442320723,False
MFAP4,9.110830253578039,0.0025705403417024195,0.017391214063107965,False
MFAP5,9.5280111569097,0.0021341750087365305,0.01609653948959205,False
MGLL,0.013542200376624892,0.986561129897825,0.9892179372494349,False
MGST1,1.4828666340753356,0.2584326234338487,0.3673212101687709,False
